,Dates,Max Earnings
128,2013-08-13 TO 2014-07-23,1913.09
129,2013-08-14 TO 2014-07-01,1922.75
130,2013-08-15 TO 2014-07-01,1990.98
131,2013-08-16 TO 2014-07-01,2005.26
132,2013-08-19 TO 2014-07-01,2015.3
133,2013-08-20 TO 2014-07-01,1984.78
134,2013-08-21 TO 2014-07-23,1997.96
135,2013-08-22 TO 2014-07-23,1937.56
136,2013-08-23 TO 2014-07-23,1946.52
137,2013-08-26 TO 2014-07-23,1937.05
138,2013-08-27 TO 2014-07-23,2056.525
139,2013-08-28 TO 2014-07-23,2037.47
140,2013-08-29 TO 2014-07-23,2009.45
141,2013-08-30 TO 2014-07-23,2010.11
142,2013-09-03 TO 2014-07-23,2015.21
143,2013-09-04 TO 2014-07-23,1958.7179999999998
144,2013-09-05 TO 2014-09-02,1914.54
145,2013-09-06 TO 2014-09-02,1931.85
146,2013-09-09 TO 2014-09-08,1913.54
147,2013-09-10 TO 2014-09-08,1842.14
148,2013-09-11 TO 2014-09-10,1806.56
149,2013-09-12 TO 2014-09-08,1824.82
150,2013-09-13 TO 2014-09-10,1811.69
151,2013-09-16 TO 2014-09-08,1803.09
152,2013-09-17 TO 2014-09-08,1763.19
153,2013-09-18 TO 2014-09-18,1798.9049999999993
154,2013-09-19 TO 2014-09-18,1820.699
155,2013-09-20 TO 2014-09-18,1825.82
156,2013-09-23 TO 2014-09-18,1805.32
157,2013-09-24 TO 2014-09-18,1807.22
158,2013-09-25 TO 2014-09-18,1840.49
159,2013-09-26 TO 2014-09-18,1797.3899999999994
160,2013-09-27 TO 2014-09-18,1824.43
161,2013-09-30 TO 2014-09-18,1824.02
162,2013-10-01 TO 2014-09-18,1795.39
163,2013-10-02 TO 2014-09-18,1810.94
164,2013-10-03 TO 2014-09-08,1860.525
165,2013-10-04 TO 2014-09-08,1794.685
166,2013-10-07 TO 2014-09-18,1852.96
167,2013-10-08 TO 2014-09-18,1934.8
168,2013-10-09 TO 2014-09-18,1933.53
169,2013-10-10 TO 2014-09-18,1856.27
170,2013-10-11 TO 2014-09-18,1797.7199999999998
171,2013-10-14 TO 2014-09-18,1782.8099999999995
172,2013-10-15 TO 2014-09-18,1816.73
173,2013-10-16 TO 2014-09-18,1739.0399999999993
174,2013-10-17 TO 2014-09-18,1745.035
175,2013-10-18 TO 2014-09-18,1740.7609999999993
176,2013-10-21 TO 2014-09-18,1722.2199999999998
177,2013-10-22 TO 2014-09-18,1560.81
178,2013-10-23 TO 2014-09-18,1564.8619999999994
179,2013-10-24 TO 2014-10-24,1580.87
180,2013-10-25 TO 2014-10-24,1570.61
181,2013-10-28 TO 2014-10-28,1614.25
182,2013-10-29 TO 2014-10-28,1565.885
183,2013-10-30 TO 2014-10-30,1616.65
184,2013-10-31 TO 2014-10-31,1606.04
185,2013-11-01 TO 2014-10-31,1560.035
186,2013-11-04 TO 2014-11-03,1578.96
187,2013-11-05 TO 2014-11-03,1606.39
188,2013-11-06 TO 2014-11-06,1624.0749999999996
189,2013-11-07 TO 2014-11-06,1680.38
190,2013-11-08 TO 2014-11-06,1611.19
191,2013-11-11 TO 2014-11-06,1612.255
192,2013-11-12 TO 2014-11-06,1587.615
193,2013-11-13 TO 2014-11-06,1604.64
194,2013-11-14 TO 2014-11-03,1637.85
195,2013-11-15 TO 2014-11-06,1638.63
196,2013-11-18 TO 2014-11-18,1732.95
197,2013-11-19 TO 2014-11-18,1765.85
198,2013-11-20 TO 2014-11-18,1752.6
199,2013-11-21 TO 2014-11-18,1651.14
200,2013-11-22 TO 2014-11-18,1640.5299999999993
201,2013-11-25 TO 2014-11-24,1645.715
202,2013-11-26 TO 2014-11-26,1697.09
203,2013-11-27 TO 2014-11-26,1684.2800000000002
204,2013-11-29 TO 2014-11-28,1734.515
205,2013-12-02 TO 2014-11-28,1732.6950000000004
206,2013-12-03 TO 2014-12-03,1775.1899999999996
207,2013-12-04 TO 2014-12-04,1910.295
208,2013-12-05 TO 2014-12-05,1879.9
209,2013-12-06 TO 2014-12-05,1865.47
210,2013-12-09 TO 2014-12-05,1812.56
211,2013-12-10 TO 2014-12-05,1832.23
212,2013-12-11 TO 2014-12-05,1881.91
213,2013-12-12 TO 2014-12-05,1883.65
214,2013-12-13 TO 2014-12-05,1873.96
215,2013-12-16 TO 2014-12-05,1770.0
216,2013-12-17 TO 2014-12-05,1678.23
217,2013-12-18 TO 2014-12-18,1693.4299999999996
218,2013-12-19 TO 2014-12-18,1720.935
219,2013-12-20 TO 2014-12-18,1693.4100000000005
220,2013-12-23 TO 2014-12-22,1700.7
221,2013-12-24 TO 2014-12-24,1684.82
222,2013-12-26 TO 2014-12-26,1704.32
223,2013-12-27 TO 2014-12-26,1732.68
224,2013-12-30 TO 2014-12-26,1732.69
225,2013-12-31 TO 2014-12-26,1722.614
226,2014-01-02 TO 2014-12-26,1739.42
227,2014-01-03 TO 2014-12-26,1692.66
228,2014-01-06 TO 2014-12-22,1713.0300000000002
229,2014-01-07 TO 2014-12-26,1673.5810000000001
230,2014-01-08 TO 2015-01-08,1678.9350000000004
231,2014-01-09 TO 2015-01-08,1676.1200000000006
232,2014-01-10 TO 2015-01-08,1660.21
233,2014-01-13 TO 2015-01-08,1676.8450000000007
234,2014-01-14 TO 2015-01-08,1592.19
235,2014-01-15 TO 2015-01-08,1576.025
236,2014-01-16 TO 2015-01-08,1597.4499999999996
237,2014-01-17 TO 2015-01-08,1540.15
238,2014-01-21 TO 2015-01-21,1538.4849999999994
239,2014-01-22 TO 2015-01-22,1596.895
240,2014-01-23 TO 2015-01-23,1662.44
241,2014-01-24 TO 2015-01-23,1708.5700000000004
242,2014-01-27 TO 2015-01-26,1743.03
243,2014-01-28 TO 2015-01-28,1743.995
244,2014-01-29 TO 2015-01-29,1823.135
245,2014-01-30 TO 2015-01-29,1770.5000000000002
246,2014-01-31 TO 2015-01-29,1782.7775
247,2014-02-03 TO 2015-01-29,1844.17
248,2014-02-04 TO 2015-01-29,1811.705
249,2014-02-05 TO 2015-01-29,1808.18
250,2014-02-06 TO 2015-01-29,1762.25
251,2014-02-07 TO 2015-01-29,1719.77
252,2014-02-10 TO 2015-01-29,1728.455
253,2014-02-11 TO 2015-02-05,1691.37
254,2014-02-12 TO 2015-02-12,1696.065
255,2014-02-13 TO 2015-02-13,1689.1549999999993
256,2014-02-14 TO 2015-02-13,1671.6
257,2014-02-18 TO 2015-02-18,1690.245
258,2014-02-19 TO 2015-02-19,1726.25
259,2014-02-20 TO 2015-02-20,1683.23
260,2014-02-21 TO 2015-02-20,1685.0500000000004
261,2014-02-24 TO 2015-02-24,1677.0400000000004
262,2014-02-25 TO 2015-02-24,1702.45
263,2014-02-26 TO 2015-02-26,1746.0499999999995
264,2014-02-27 TO 2015-02-26,1750.1
265,2014-02-28 TO 2015-02-26,1725.8199999999995
266,2014-03-03 TO 2015-03-02,1749.4399999999996
267,2014-03-04 TO 2015-03-02,1684.4
268,2014-03-05 TO 2015-03-05,1715.5000000000002
